"序号","数据块","方向","变量名","数据类型","绝对地址","访问权限","初始值","说明","当前驱动状态"
"1","DB100_HMI","PC→PLC","Cmd_Start","Bool","DB100.DBX0.0","上位机写/PLC读","FALSE","启动请求脉冲；PLC仅在安全条件满足时受理","已使用"
"2","DB100_HMI","PC→PLC","Cmd_Stop","Bool","DB100.DBX0.1","上位机写/PLC读","FALSE","停止请求脉冲；不是急停","已使用"
"3","DB100_HMI","PC→PLC","Cmd_Reset","Bool","DB100.DBX0.2","上位机写/PLC读","FALSE","故障复位请求脉冲；不得绕过安全回路","已使用"
"4","DB100_HMI","PC→PLC","Cmd_Auto","Bool","DB100.DBX0.3","上位机写/PLC读","FALSE","切换自动模式请求","已使用"
"5","DB100_HMI","PC→PLC","Cmd_Manual","Bool","DB100.DBX0.4","上位机写/PLC读","FALSE","切换手动模式请求","已使用"
"6","DB100_HMI","PC→PLC","Cmd_RecipeChange","Bool","DB100.DBX0.5","上位机写/PLC读","FALSE","配方切换请求脉冲","已使用"
"7","DB100_HMI","PC→PLC","Reserved_CommandBit6","Bool","DB100.DBX0.6","保留","FALSE","保留位，不得复用","未使用"
"8","DB100_HMI","PC→PLC","Reserved_CommandBit7","Bool","DB100.DBX0.7","保留","FALSE","保留位，不得复用","未使用"
"9","DB100_HMI","PC→PLC","Reserved_Byte1","Byte","DB100.DBB1","保留","0","用于固定后续偏移","未使用"
"10","DB100_HMI","PC→PLC","Reserved_Word2","Word","DB100.DBW2","保留","0","用于四字节对齐","未使用"
"11","DB100_HMI","PC→PLC","RecipeId","DInt","DB100.DBD4","上位机写/PLC读","0","请求切换的配方编号；0 表示未指定","已使用"
"12","DB100_HMI","PC→PLC","CommandSequence","DInt","DB100.DBD8","上位机写/PLC读","0","命令流水号；后续用于请求/应答去重","已预留"
"13","DB100_HMI","PC→PLC","PcHeartbeat","DInt","DB100.DBD12","上位机写/PLC读","0","上位机心跳递增计数","已预留"
"14","DB100_HMI","PC→PLC","ProtocolVersion","UInt","DB100.DBW16","上位机写/PLC读","1","通信协议主版本号，V1 固定为 1","已预留"
"15","DB100_HMI","PC→PLC","PcReady","Bool","DB100.DBX18.0","上位机写/PLC读","FALSE","上位机已连接且业务服务就绪","已预留"
"16","DB101_Machine","PLC→PC","AutoMode","Bool","DB101.DBX0.0","PLC写/上位机读","FALSE","设备处于自动模式","已使用"
"17","DB101_Machine","PLC→PC","ManualMode","Bool","DB101.DBX0.1","PLC写/上位机读","FALSE","设备处于手动模式","已使用"
"18","DB101_Machine","PLC→PC","Running","Bool","DB101.DBX0.2","PLC写/上位机读","FALSE","自动循环正在运行","已使用"
"19","DB101_Machine","PLC→PC","Ready","Bool","DB101.DBX0.3","PLC写/上位机读","FALSE","满足启动条件且等待启动","已使用"
"20","DB101_Machine","PLC→PC","Fault","Bool","DB101.DBX0.4","PLC写/上位机读","FALSE","存在阻止运行的设备故障","已使用"
"21","DB101_Machine","PLC→PC","EStop","Bool","DB101.DBX0.5","PLC写/上位机读","FALSE","急停安全链已触发；仅作状态镜像","已使用"
"22","DB101_Machine","PLC→PC","SafetyDoor","Bool","DB101.DBX0.6","PLC写/上位机读","FALSE","安全门已打开；仅作状态镜像","已使用"
"23","DB101_Machine","PLC→PC","MaterialReady","Bool","DB101.DBX0.7","PLC写/上位机读","FALSE","入口物料条件满足","已使用"
"24","DB101_Machine","PLC→PC","Reserved_Byte1","Byte","DB101.DBB1","保留","0","用于固定后续偏移","未使用"
"25","DB101_Machine","PLC→PC","Reserved_Word2","Word","DB101.DBW2","保留","0","用于四字节对齐","未使用"
"26","DB101_Machine","PLC→PC","CycleTime","Real","DB101.DBD4","PLC写/上位机读","0.0","最近一个合格生产循环的节拍，单位 ms","已使用"
"27","DB101_Machine","PLC→PC","Speed","Real","DB101.DBD8","PLC写/上位机读","0.0","主输送线实际速度，单位 mm/s","已使用"
"28","DB101_Machine","PLC→PC","CommandAckSequence","DInt","DB101.DBD12","PLC写/上位机读","0","PLC 已处理的命令流水号","已预留"
"29","DB101_Machine","PLC→PC","ActiveRecipeId","DInt","DB101.DBD16","PLC写/上位机读","0","PLC 当前生效配方编号","已预留"
"30","DB101_Machine","PLC→PC","AlarmCode","DInt","DB101.DBD20","PLC写/上位机读","0","当前最高优先级报警代码；0 表示无报警","已预留"
"31","DB101_Machine","PLC→PC","PlcHeartbeat","DInt","DB101.DBD24","PLC写/上位机读","0","PLC 心跳递增计数","已预留"
"32","DB101_Machine","PLC→PC","ProtocolVersion","UInt","DB101.DBW28","PLC写/上位机读","1","PLC 实现的通信协议主版本号","已预留"
"33","DB101_Machine","PLC→PC","CommandBusy","Bool","DB101.DBX30.0","PLC写/上位机读","FALSE","PLC 正在处理上位机命令","已预留"
"34","DB101_Machine","PLC→PC","CommandError","Bool","DB101.DBX30.1","PLC写/上位机读","FALSE","最近一次上位机命令处理失败","已预留"
"35","DB101_Machine","PLC→PC","Reserved_StatusBit2","Bool","DB101.DBX30.2","保留","FALSE","保留位，不得复用","未使用"
"36","DB101_Machine","PLC→PC","Reserved_StatusBit3","Bool","DB101.DBX30.3","保留","FALSE","保留位，不得复用","未使用"
"37","DB101_Machine","PLC→PC","Reserved_StatusBit4","Bool","DB101.DBX30.4","保留","FALSE","保留位，不得复用","未使用"
"38","DB101_Machine","PLC→PC","Reserved_StatusBit5","Bool","DB101.DBX30.5","保留","FALSE","保留位，不得复用","未使用"
"39","DB101_Machine","PLC→PC","Reserved_StatusBit6","Bool","DB101.DBX30.6","保留","FALSE","保留位，不得复用","未使用"
"40","DB101_Machine","PLC→PC","Reserved_StatusBit7","Bool","DB101.DBX30.7","保留","FALSE","保留位，不得复用","未使用"
"41","DB101_Machine","PLC→PC","Reserved_Byte31","Byte","DB101.DBB31","保留","0","用于固定结果码偏移","未使用"
"42","DB101_Machine","PLC→PC","LastCommandStatus","Int","DB101.DBW32","PLC写/上位机读","0","最近一次命令结果；0成功，非0错误码","已预留"
